DATE,NA000334Q
1975-01-01,391688.0
1975-04-01,414253.0
1975-07-01,423323.0
1975-10-01,455641.0
1976-01-01,441178.0
1976-04-01,465343.0
1976-07-01,466535.0
1976-10-01,500358.0
1977-01-01,481996.0
1977-04-01,515010.0
1977-07-01,526844.0
1977-10-01,557979.0
1978-01-01,534990.0
1978-04-01,583171.0
1978-07-01,596032.0
1978-10-01,637402.0
1979-01-01,618499.0
1979-04-01,648326.0
1979-07-01,658706.0
1979-10-01,701800.0
1980-01-01,683564.0
1980-04-01,698570.0
1980-07-01,707671.0
1980-10-01,767505.0
1981-01-01,758799.0
1981-04-01,791530.0
1981-07-01,811659.0
1981-10-01,845052.0
1982-01-01,803715.0
1982-04-01,831458.0
1982-07-01,834528.0
1982-10-01,874081.0
1983-01-01,850380.0
1983-04-01,895388.0
1983-07-01,916516.0
1983-10-01,971755.0
1984-01-01,962905.0
1984-04-01,1002687.0
1984-07-01,1011924.0
1984-10-01,1060096.0
1985-01-01,1033006.0
1985-04-01,1073981.0
1985-07-01,1090905.0
1985-10-01,1141088.0
1986-01-01,1104498.0
1986-04-01,1138030.0
1986-07-01,1148813.0
1986-10-01,1188288.0
1987-01-01,1148876.0
1987-04-01,1205023.0
1987-07-01,1218373.0
1987-10-01,1282952.0
1988-01-01,1236534.0
1988-04-01,1297399.0
1988-07-01,1319724.0
1988-10-01,1382783.0
1989-01-01,1346036.0
1989-04-01,1405607.0
1989-07-01,1418867.0
1989-10-01,1471062.0
1990-01-01,1434375.0
1990-04-01,1490965.0
1990-07-01,1499694.0
1990-10-01,1538100.0
1991-01-01,1475270.0
1991-04-01,1532427.0
1991-07-01,1548990.0
1991-10-01,1601443.0
1992-01-01,1554707.0
1992-04-01,1619581.0
1992-07-01,1640744.0
1992-10-01,1705290.0
1993-01-01,1638122.0
1993-04-01,1701825.0
1993-07-01,1724703.0
1993-10-01,1793863.0
1994-01-01,1736453.0
1994-04-01,1809569.0
1994-07-01,1837412.0
1994-10-01,1903751.0
1995-01-01,1835136.0
1995-04-01,1897414.0
1995-07-01,1922816.0
1995-10-01,1984341.0
1996-01-01,1925298.0
1996-04-01,2005097.0
1996-07-01,2035136.0
1996-10-01,2107536.0
1997-01-01,2043501.0
1997-04-01,2129607.0
1997-07-01,2166479.0
1997-10-01,2237891.0
1998-01-01,2160728.0
1998-04-01,2249908.0
1998-07-01,2281422.0
1998-10-01,2370677.0
1999-01-01,2293136.0
1999-04-01,2388422.0
1999-07-01,2423648.0
1999-10-01,2524828.0
2000-01-01,2448892.0
2000-04-01,2569266.0
2000-07-01,2577927.0
2000-10-01,2655636.0
2001-01-01,2562488.0
2001-04-01,2656407.0
2001-07-01,2651366.0
2001-10-01,2711715.0
2002-01-01,2631119.0
2002-04-01,2721842.0
2002-07-01,2751463.0
2002-10-01,2824686.0
2003-01-01,2743734.0
2003-04-01,2831413.0
2003-07-01,2886905.0
2003-10-01,2994399.0
2004-01-01,2924602.0
2004-04-01,3032386.0
2004-07-01,3069688.0
2004-10-01,3190521.0
2005-01-01,3111329.0
2005-04-01,3232051.0
2005-07-01,3306451.0
2005-10-01,3389367.0
2006-01-01,3333266.0
2006-04-01,3460990.0
2006-07-01,3463694.0
2006-10-01,3557633.0
2007-01-01,3482006.0
2007-04-01,3613882.0
2007-07-01,3637993.0
2007-10-01,3740350.0
2008-01-01,3657487.0
2008-04-01,3715835.0
2008-07-01,3698182.0
2008-10-01,3698360.0
2009-01-01,3522117.0
2009-04-01,3598010.0
2009-07-01,3623204.0
2009-10-01,3734738.0
2010-01-01,3602418.0
2010-04-01,3755370.0
2010-07-01,3793867.0
2010-10-01,3897315.0
2011-01-01,3764835.0
2011-04-01,3893028.0
2011-07-01,3927583.0
2011-10-01,4014288.0
2012-01-01,3960259.0
2012-04-01,4047165.0
2012-07-01,4086346.0
2012-10-01,4160201.0
2013-01-01,4074333.0
2013-04-01,4184244.0
2013-07-01,4259404.0
2013-10-01,4362704.0
2014-01-01,4220258.0
2014-04-01,4376828.0
2014-07-01,4465484.0
2014-10-01,4545567.0
2015-01-01,4411435.0
2015-04-01,4580499.0
2015-07-01,4625898.0
2015-10-01,4677188.0
2016-01-01,4521822.0
2016-04-01,4690281.0
2016-07-01,4746661.0
2016-10-01,4840483.0
2017-01-01,4674704.0
2017-04-01,4889678.0
2017-07-01,4958224.0
2017-10-01,5089495.0
2018-01-01,4962408.0
2018-04-01,5161541.0
2018-07-01,5221627.0
2018-10-01,5310940.0
2019-01-01,5140051.0
2019-04-01,5376189.0
2019-07-01,5441019.0
2019-10-01,5564137.0
2020-01-01,5292718.0
2020-04-01,5009931.0
2020-07-01,5411028.0
2020-10-01,5609276.0
2021-01-01,5503213.0
2021-04-01,5853320.0
2021-07-01,5975139.0
2021-10-01,6271538.0
2022-01-01,6098908.0
2022-04-01,6414266.0
2022-07-01,6539219.0
2022-10-01,6701519.0
2023-01-01,6546655.0
